,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
0,2020-01-01,2.0,4.0585,-2.8915,0.7668333,0.4483571,-6.8990536,-2.8197448,0,0,27887.553,22130.133,0.0,0.0,0.0,0.0,12.313894,22.68,251.41296,2.65,0.24220759
1,2020-01-02,3.0,5.3085,-3.6915,-0.34149995,0.65773535,-7.803853,-4.5232368,0,0,27961.896,22598.525,0.0,0.0,0.0,0.0,13.979872,24.48,222.17859,3.79,0.48144642
2,2020-01-03,53.0,6.3585,1.0585,4.629333,2.0298681,-3.2388742,0.052036762,0,0,28042.436,0.0,3.7000003,3.7000003,0.0,8.0,23.166218,42.12,229.85751,0.89,0.36592808
3,2020-01-04,61.0,5.3085,1.0085,3.6480837,0.09177971,-4.2280893,-1.8386384,0,0,28128.994,0.0,4.0,4.0,0.0,7.0,32.571545,74.159996,277.53876,0.53,0.40373668
4,2020-01-05,3.0,3.7585,-1.8414999,1.26475,0.57161045,-5.8776298,-2.6882074,0,0,28221.395,22702.186,0.0,0.0,0.0,0.0,18.678415,33.12,261.20267,3.18,0.2914373
5,2020-01-06,3.0,5.1085,0.70849997,3.5314176,1.8594055,-3.1064281,-0.10279817,0,0,28319.473,0.0,0.0,0.0,0.0,0.0,16.09969,27.0,224.25876,0.81,0.25299454
6,2020-01-07,3.0,5.1085,-1.2414999,2.4439166,1.9250717,-4.8551826,-1.1735002,0,0,28423.04,3600.0,0.0,0.0,0.0,0.0,15.94601,26.64,233.16193,1.18,0.18549748
7,2020-01-08,53.0,7.8585,3.7085001,6.0939174,5.03829,-1.0514724,2.05631,0,0,28531.914,0.0,1.8000001,1.8000001,0.0,8.0,22.206486,37.8,221.9907,0.75,0.36796698
8,2020-01-09,53.0,9.6085005,6.4585,7.9855843,6.91516,3.4199777,5.031407,0,0,28645.924,0.0,6.199999,6.199999,0.0,20.0,20.188908,34.92,204.61249,1.07,0.20964801
9,2020-01-10,51.0,10.6085005,5.5585,8.814751,7.420061,1.0082664,5.2102427,0,0,28764.893,12599.937,3.0,3.0,0.0,14.0,23.893261,43.199997,246.63419,2.12,0.50920016
10,2020-01-11,3.0,6.1584997,2.3085,4.60225,2.0245094,-2.6252427,0.31249362,0,0,28888.643,15030.592,0.0,0.0,0.0,0.0,20.617662,36.0,254.41428,2.56,0.67134815
11,2020-01-12,51.0,6.9585,0.7585,3.623083,1.7151451,-4.2378855,-1.4118994,0,0,29016.994,23597.771,0.2,0.2,0.0,1.0,25.318008,43.92,223.36172,3.66,0.8065726
12,2020-01-13,51.0,7.3085,2.4585001,5.368916,4.0695267,-1.0446532,1.7161589,0,0,29149.777,12769.917,0.4,0.4,0.0,3.0,24.063513,43.199997,223.28397,2.19,0.46247312
13,2020-01-14,51.0,10.6085005,3.7085001,7.829334,6.087554,-0.48386335,3.0141032,0,0,29287.104,7787.1914,0.1,0.1,0.0,1.0,27.103,46.44,201.01392,1.93,1.2976114
14,2020-01-15,3.0,12.158501,8.658501,10.185584,7.4186535,4.0001373,5.4004936,0,0,29430.48,23907.285,0.0,0.0,0.0,0.0,24.66197,42.839996,209.1984,3.96,1.9261904
15,2020-01-16,3.0,9.8085,3.0585,6.17725,6.801506,-0.582324,3.109175,0,0,29579.871,24275.547,0.0,0.0,0.0,0.0,17.873556,30.960001,211.04163,4.57,0.5701624
16,2020-01-17,3.0,8.3085,2.1585,4.321,3.532641,-1.8242021,0.4406458,0,0,29734.943,24416.447,0.0,0.0,0.0,0.0,21.817902,38.16,161.94214,4.55,0.54293126
17,2020-01-18,51.0,7.2085,1.3585,5.0210004,3.5309734,-2.3915324,0.97035974,0,0,29895.38,15193.265,0.5,0.5,0.0,4.0,22.461807,39.96,246.7649,3.38,0.6345432
18,2020-01-19,51.0,5.3585,1.9085001,3.4939167,1.7721128,-1.2957592,0.26095057,0,0,30060.85,14993.669,0.3,0.3,0.0,1.0,13.779114,25.56,285.81772,3.01,0.36663362
19,2020-01-20,3.0,3.5085,-1.1915,2.0980835,-0.19313526,-4.534646,-1.393372,0,0,30231.045,14620.582,0.0,0.0,0.0,0.0,15.629971,26.64,256.75946,3.37,0.30091837
20,2020-01-21,2.0,5.3585,-0.1415,1.9834999,0.6985092,-4.5417566,-2.49598,0,0,30405.658,25242.785,0.0,0.0,0.0,0.0,18.214718,33.48,251.45691,4.75,0.5882278
21,2020-01-22,51.0,5.8085,-0.8915,3.1126661,2.1868105,-4.815106,-0.98053503,0,0,30584.389,0.0,0.2,0.2,0.0,2.0,20.833395,38.519997,278.45187,1.12,0.29068378
22,2020-01-23,3.0,5.3585,0.4085,2.5293336,1.9136205,-2.8556974,-0.63638276,0,0,30766.928,19854.076,0.0,0.0,0.0,0.0,11.923557,23.039999,247.80695,3.09,0.3789028
23,2020-01-24,3.0,3.3585,-2.3415,0.14391667,-0.6482444,-5.789765,-3.5956087,0,0,30953.002,26045.37,0.0,0.0,0.0,0.0,14.658676,26.28,243.02722,5.09,0.41457835
24,2020-01-25,3.0,2.5085,-0.6415,0.78975004,-1.4738436,-3.97578,-2.8836014,0,0,31142.322,945.6619,0.0,0.0,0.0,0.0,13.5515,25.199999,240.11266,1.82,0.24908765
25,2020-01-26,51.0,2.2585,-1.2414999,0.28141668,-1.3264623,-5.2593493,-3.1629226,0,0,31334.617,3961.3801,0.1,0.1,0.0,1.0,10.1887,19.8,197.11136,2.57,0.28267297
26,2020-01-27,51.0,8.3085,1.1085,4.773083,4.5587482,-2.505001,0.98809665,0,0,31529.615,24775.834,0.6,0.6,0.0,3.0,20.211363,43.199997,198.97746,4.44,0.58957225
27,2020-01-28,73.0,8.5585,2.0085,5.273084,4.3895254,-4.9821033,0.26746622,0,0,31727.053,10800.0,7.7999997,7.2999997,0.35,14.0,32.59939,55.44,220.92442,3.3,0.6949952
28,2020-01-29,73.0,5.8585,2.0085,3.7376668,-0.69040346,-4.4752884,-2.0652397,0,0,31926.686,20244.008,3.4,2.6000001,0.56,11.0,34.57687,63.72,257.21786,3.4,0.7714019
29,2020-01-30,71.0,7.6584997,2.4585001,5.1251664,3.0736551,-2.2526772,0.23407976,0,0,32128.256,0.0,6.4000006,6.3,0.07,12.0,27.14123,47.88,233.66159,0.87,0.53385603
30,2020-01-31,51.0,11.0585,6.4084997,9.5085,7.2472286,1.3886042,5.287349,0,0,32331.521,9418.072,1.6,1.6,0.0,7.0,29.157776,51.839996,259.94183,2.58,0.9190877
31,2020-02-01,55.0,11.5085,7.3585,10.341833,8.165746,2.6211176,6.8325977,0,0,32536.258,0.0,5.9999995,5.9999995,0.0,14.0,29.024128,51.12,243.11206,1.39,0.61993754
32,2020-02-02,53.0,8.4585,5.6085,7.231416,3.9863577,1.7116385,2.848273,0,0,32742.23,0.0,5.2,5.2,0.0,14.0,31.655441,55.44,254.07733,0.98,0.843673
33,2020-02-03,53.0,9.8085,5.8085,7.2293334,6.5770054,2.7026882,3.8891823,0,0,32949.6,12515.667,4.0999994,4.0999994,0.0,19.0,24.74329,48.6,261.97214,2.88,0.47353473
34,2020-02-04,53.0,6.5084996,3.2085001,4.8085003,3.1880713,-2.866404,0.061885517,0,0,33160.42,26729.238,2.6000001,2.6000001,0.0,12.0,30.489683,63.36,296.02502,5.36,0.75002205
35,2020-02-05,51.0,4.8085,0.6085,2.4501667,0.33664703,-3.8922653,-2.397425,0,0,33374.785,27856.82,0.8000001,0.8000001,0.0,5.0,33.221584,62.639996,317.14246,6.19,0.7939427
36,2020-02-06,3.0,5.7085,1.9585,4.3335004,1.4699216,-2.8784018,-0.29586893,0,0,33592.402,0.0,0.0,0.0,0.0,0.0,23.857979,41.760002,273.45682,2.03,0.69142175
37,2020-02-07,3.0,7.1584997,3.8085,5.496,5.169346,0.86591053,2.8082964,0,0,33812.984,6479.01,0.0,0.0,0.0,0.0,15.542662,26.28,295.6698,2.79,0.43854275
38,2020-02-08,3.0,8.3085,1.5585,4.6584997,4.034395,-2.320663,0.8600914,0,0,34036.266,29569.852,0.0,0.0,0.0,0.0,18.175545,34.2,180.96053,7.31,0.9011368
39,2020-02-09,61.0,11.9585,4.3585,8.600166,5.616453,-0.13716364,2.9802132,0,0,34261.984,26494.727,3.3,3.3,0.0,5.0,40.104065,91.439995,201.15471,6.19,1.9123937
40,2020-02-10,63.0,12.7085,3.5085,7.0980835,4.972563,-1.8318534,0.8902118,0,0,34489.87,14929.146,14.8,14.8,0.0,19.0,44.71252,92.159996,247.7092,3.93,1.2773122
41,2020-02-11,53.0,6.4585,2.8085,4.3710003,-0.8018813,-4.1175027,-2.759361,0,0,34719.688,18874.953,1.7,1.7,0.0,8.0,45.40569,82.079994,255.83043,4.68,1.5214489
42,2020-02-12,73.0,5.9585,2.2085001,3.7918332,-1.3833203,-4.622485,-3.252881,0,0,34951.184,29768.502,0.6,0.3,0.21000001,2.0,42.51202,83.88,255.3096,6.29,1.6900562
43,2020-02-13,53.0,5.9084997,0.70849997,3.6085005,1.462606,-4.043148,-1.2134442,0,0,35184.13,16364.253,2.5,2.5,0.0,8.0,25.620771,43.92,199.15068,5.3,0.9829654
44,2020-02-14,51.0,6.5084996,1.6585001,3.9293334,3.511877,-1.3294361,1.0878392,0,0,35418.28,14616.827,0.2,0.2,0.0,1.0,12.9249525,23.759998,282.66507,3.92,0.4277619
45,2020-02-15,3.0,9.1085005,2.0085,5.637666,5.2457914,-2.0628946,1.6214861,0,0,35653.426,15984.908,0.0,0.0,0.0,0.0,22.314194,37.8,193.56158,5.29,0.8950745
46,2020-02-16,53.0,15.9585,7.1584997,12.133499,9.027077,1.8406858,6.229116,0,0,35889.348,378.44446,2.0,2.0,0.0,5.0,36.64404,66.24,210.40067,2.68,2.9503536
47,2020-02-17,51.0,12.1085005,6.5585,9.2439165,6.303256,1.7745514,4.0226383,0,0,36125.824,11165.717,0.1,0.1,0.0,1.0,33.3559,63.72,238.99883,5.09,2.02171
48,2020-02-18,53.0,8.0585,4.8085,6.4147506,2.0747685,-0.8260522,0.94596297,0,0,36362.656,24490.072,2.3,2.3,0.0,6.0,35.65454,65.88,246.13107,6.27,1.4583242
49,2020-02-19,71.0,6.8085,3.1585,4.8376665,1.6276665,-1.4514775,-0.22574557,0,0,36599.633,15833.244,4.9999995,4.8999996,0.07,15.0,25.922499,52.199997,249.32852,4.85,0.9107515
50,2020-02-20,51.0,6.9585,0.5085,4.504333,2.1658936,-3.2893186,0.15409096,0,0,36836.566,3078.1128,0.8000001,0.8000001,0.0,4.0,25.729298,43.92,206.33116,3.2,0.6878592
51,2020-02-21,61.0,7.7584996,3.7585,5.8564153,1.8257332,-2.2303042,0.3042934,0,0,37073.25,28750.662,5.1,5.1,0.0,6.0,32.23357,60.479996,260.87717,7.09,1.3668934
52,2020-02-22,61.0,11.4585,5.3585,8.135583,5.105242,-0.57967496,2.4173849,0,0,37309.508,15348.777,5.4,5.4,0.0,6.0,38.896664,66.24,236.95387,5.12,1.8841206
53,2020-02-23,63.0,7.5585,4.0585,6.4105835,5.003436,-2.6618257,1.7950729,0,0,37545.504,0.0,14.299999,14.299999,0.0,16.0,33.12978,61.199997,269.90915,1.44,0.68762493
54,2020-02-24,61.0,7.8585,3.5085,5.3209996,3.7455602,-2.303828,0.3642733,0,0,37783.24,7200.0,7.4999995,7.4999995,0.0,8.0,27.77838,57.239998,247.39934,4.05,1.0047631
55,2020-02-25,53.0,9.8085,2.6585,7.7397504,5.2620907,-1.2987075,3.107114,0,0,38022.87,29239.062,2.6,2.6,0.0,10.0,28.739187,57.6,249.46284,6.45,1.3822013
56,2020-02-26,71.0,4.4084997,1.5085001,2.6668336,0.32438803,-3.148035,-1.4026874,0,0,38264.2,2055.4126,2.3999999,2.0,0.28,10.0,18.014393,31.319998,253.36739,3.59,0.47216272
57,2020-02-27,71.0,5.7085,1.0085,2.641833,3.1020508,-3.01633,-0.8563469,0,0,38507.04,18891.781,1.7,1.5,0.14,9.0,18.58451,37.079998,256.08478,6.33,0.65746737
