date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours
2020-01-01,2.0,4.0585,-2.8915,-2.8197448,27887.553,22130.133,0.0,0.0,0.0,0.0
2020-01-02,3.0,5.3085,-3.6915,-4.5232368,27961.896,22598.525,0.0,0.0,0.0,0.0
2020-01-03,53.0,6.3585,1.0585,0.052036762,28042.436,0.0,3.7000003,3.7000003,0.0,8.0
2020-01-04,61.0,5.3085,1.0085,-1.8386384,28128.994,0.0,4.0,4.0,0.0,7.0
2020-01-05,3.0,3.7585,-1.8414999,-2.6882074,28221.395,22702.186,0.0,0.0,0.0,0.0
2020-01-06,3.0,5.1085,0.70849997,-0.10279817,28319.473,0.0,0.0,0.0,0.0,0.0
2020-01-07,3.0,5.1085,-1.2414999,-1.1735002,28423.04,3600.0,0.0,0.0,0.0,0.0
2020-01-08,53.0,7.8585,3.7085001,2.05631,28531.914,0.0,1.8000001,1.8000001,0.0,8.0
2020-01-09,53.0,9.6085005,6.4585,5.031407,28645.924,0.0,6.199999,6.199999,0.0,20.0
2020-01-10,51.0,10.6085005,5.5585,5.2102427,28764.893,12599.937,3.0,3.0,0.0,14.0
2020-01-11,3.0,6.1584997,2.3085,0.31249362,28888.643,15030.592,0.0,0.0,0.0,0.0
2020-01-12,51.0,6.9585,0.7585,-1.4118994,29016.994,23597.771,0.2,0.2,0.0,1.0
2020-01-13,51.0,7.3085,2.4585001,1.7161589,29149.777,12769.917,0.4,0.4,0.0,3.0
2020-01-14,51.0,10.6085005,3.7085001,3.0141032,29287.104,7787.1914,0.1,0.1,0.0,1.0
2020-01-15,3.0,12.158501,8.658501,5.4004936,29430.48,23907.285,0.0,0.0,0.0,0.0
2020-01-16,3.0,9.8085,3.0585,3.109175,29579.871,24275.547,0.0,0.0,0.0,0.0
2020-01-17,3.0,8.3085,2.1585,0.4406458,29734.943,24416.447,0.0,0.0,0.0,0.0
2020-01-18,51.0,7.2085,1.3585,0.97035974,29895.38,15193.265,0.5,0.5,0.0,4.0
