date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours
2020-01-01,1.0,33.6325,24.332499,30.031357,40787.664,38087.77,0.0,0.0,0.0,0.0
2020-01-02,2.0,33.3325,23.832499,30.477592,40799.34,38100.996,0.0,0.0,0.0,0.0
2020-01-03,1.0,33.732502,23.432499,31.06964,40812.016,38115.348,0.0,0.0,0.0,0.0
2020-01-04,2.0,33.482502,23.432499,31.355614,40825.664,38130.78,0.0,0.0,0.0,0.0
2020-01-05,0.0,34.1325,23.5325,30.877304,40840.26,38147.29,0.0,0.0,0.0,0.0
2020-01-06,1.0,34.0325,23.332499,31.317156,40855.79,38164.84,0.0,0.0,0.0,0.0
2020-01-07,1.0,34.732502,23.2325,31.742373,40872.223,38183.39,0.0,0.0,0.0,0.0
2020-01-08,51.0,34.432503,24.082499,33.222614,40889.54,38202.93,0.1,0.1,0.0,1.0
2020-01-09,1.0,34.2825,24.7325,33.310947,40907.72,38223.42,0.0,0.0,0.0,0.0
2020-01-10,51.0,35.0325,26.0325,34.174908,40926.74,38244.83,0.1,0.1,0.0,1.0
2020-01-11,51.0,33.982502,26.6325,34.68304,40946.566,36921.52,1.2,1.2,0.0,5.0
2020-01-12,53.0,33.0825,24.2825,33.402935,40967.19,36423.418,1.6000001,1.6000001,0.0,8.0
2020-01-13,53.0,32.0325,25.082499,32.80701,40988.586,38314.34,1.1,1.1,0.0,5.0
2020-01-14,51.0,32.182503,24.682499,32.569637,41010.773,38339.26,0.4,0.4,0.0,2.0
2020-01-15,51.0,30.832499,25.2825,32.718327,41034.01,38365.5,0.8000001,0.8000001,0.0,4.0
2020-01-16,51.0,32.982502,25.082499,32.666317,41058.293,38392.92,0.2,0.2,0.0,2.0
2020-01-17,1.0,33.1325,25.432499,33.64166,41083.58,38421.465,0.0,0.0,0.0,0.0
2020-01-18,51.0,32.0325,25.582499,33.69427,41109.812,38431.95,0.1,0.1,0.0,1.0
2020-01-19,51.0,32.0825,26.1325,33.772648,41136.96,38159.44,1.9,1.9,0.0,10.0
2020-01-20,51.0,32.682503,25.2325,33.27631,41164.977,38513.234,0.1,0.1,0.0,1.0
2020-01-21,51.0,32.3325,24.832499,33.3673,41193.81,37917.56,0.70000005,0.70000005,0.0,5.0
2020-01-22,51.0,33.682503,25.582499,33.922115,41223.418,37646.523,0.2,0.2,0.0,2.0
2020-01-23,51.0,33.182503,25.8825,33.67416,41253.766,38613.094,0.8,0.8,0.0,5.0
2020-01-24,1.0,33.1325,26.1325,33.109745,41284.797,38647.92,0.0,0.0,0.0,0.0
2020-01-25,51.0,32.3325,25.3825,31.490839,41316.484,38334.516,0.2,0.2,0.0,2.0
2020-01-26,1.0,33.2825,24.1325,32.37762,41348.773,38719.574,0.0,0.0,0.0,0.0
2020-01-27,51.0,33.1325,20.7325,28.923307,41381.625,38756.305,0.2,0.2,0.0,1.0
2020-01-28,1.0,32.6325,20.682499,29.286905,41415.0,38793.56,0.0,0.0,0.0,0.0
2020-01-29,1.0,33.5825,23.332499,30.887907,41448.86,38831.305,0.0,0.0,0.0,0.0
2020-01-30,51.0,32.3325,23.2825,29.561983,41483.152,38869.473,0.5,0.5,0.0,2.0
2020-01-31,2.0,32.5825,22.932499,29.294249,41517.855,38908.035,0.0,0.0,0.0,0.0
2020-02-01,1.0,33.482502,22.2325,29.701286,41552.918,38946.934,0.0,0.0,0.0,0.0
2020-02-02,1.0,32.732502,23.432499,31.76922,41588.31,38986.13,0.0,0.0,0.0,0.0
2020-02-03,51.0,32.0325,24.5325,32.004955,41624.05,39025.617,0.2,0.2,0.0,2.0
2020-02-04,51.0,31.6325,25.432499,31.334642,41660.492,39065.72,0.70000005,0.70000005,0.0,4.0
2020-02-05,51.0,31.682499,25.332499,31.499392,41697.668,39106.594,0.4,0.4,0.0,2.0
2020-02-06,51.0,31.7825,24.432499,31.59717,41735.523,39148.176,0.2,0.2,0.0,2.0
2020-02-07,51.0,33.482502,24.2825,32.728336,41774.01,39190.4,0.1,0.1,0.0,1.0
2020-02-08,51.0,34.0825,24.082499,33.198036,41813.09,39233.21,0.70000005,0.70000005,0.0,2.0
2020-02-09,51.0,34.482502,24.2825,30.396116,41852.71,38998.79,0.3,0.3,0.0,1.0
2020-02-10,2.0,32.6325,24.582499,30.311295,41892.83,35996.04,0.0,0.0,0.0,0.0
2020-02-11,2.0,35.182503,24.932499,33.01337,41933.41,39345.953,0.0,0.0,0.0,0.0
2020-02-12,51.0,32.682503,25.9825,33.077923,41974.4,39368.457,0.70000005,0.70000005,0.0,5.0
2020-02-13,1.0,33.932503,25.9825,32.54961,42015.76,39391.86,0.0,0.0,0.0,0.0
2020-02-14,1.0,33.5825,23.4825,32.095837,42057.453,39416.1,0.0,0.0,0.0,0.0
