,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
0,2020-01-01,51.0,24.7675,19.2675,21.973753,25.061949,18.2685,22.049086,0,0,51938.438,42384.95,0.6,0.6,0.0,4.0,24.33664,43.56,139.87895,20.96,4.160744
1,2020-01-02,51.0,24.2175,18.317501,21.259167,24.995867,17.99948,20.943785,0,0,51902.668,47018.086,1.8000001,1.8000001,0.0,9.0,27.609911,47.88,117.709984,24.55,4.5939646
2,2020-01-03,51.0,25.1175,20.5175,22.37375,27.362978,20.149343,22.910418,0,0,51863.875,48602.17,0.1,0.1,0.0,1.0,24.20314,43.199997,87.91158,31.1,5.876242
3,2020-01-04,2.0,25.6175,20.917501,23.177916,27.975208,21.11651,24.117735,0,0,51822.125,48563.383,0.0,0.0,0.0,0.0,20.833395,35.28,46.11285,29.61,5.913107
4,2020-01-05,2.0,27.167501,20.2175,24.225832,29.682999,22.054735,25.340597,0,0,51777.492,48521.92,0.0,0.0,0.0,0.0,18.486622,34.56,56.533478,27.97,5.9965086
5,2020-01-06,63.0,26.4675,18.567501,22.386251,26.071087,17.091236,21.328299,0,0,51730.055,46591.81,9.8,9.8,0.0,6.0,31.845247,56.519997,249.78966,30.71,6.566729
6,2020-01-07,0.0,27.817501,15.117499,21.613335,27.52074,12.766451,20.351297,0,0,51679.875,48431.21,0.0,0.0,0.0,0.0,20.188908,37.079998,277.38358,32.5,7.233435
7,2020-01-08,51.0,30.5175,19.4675,24.657084,29.777184,18.071127,23.920225,0,0,51627.047,48382.086,0.1,0.1,0.0,1.0,25.60053,47.16,345.37497,31.02,7.643038
8,2020-01-09,55.0,28.817501,22.7175,25.490417,32.653004,23.806833,27.293695,0,0,51571.63,33633.03,1.1,1.1,0.0,1.0,16.80857,31.68,345.96368,24.89,5.669439
9,2020-01-10,3.0,30.417501,20.7175,25.119589,32.97853,21.226728,26.105042,0,0,51513.703,43594.484,0.0,0.0,0.0,0.0,23.598541,45.36,145.18616,26.91,6.3146734
10,2020-01-11,1.0,28.667501,19.067501,24.29458,33.722786,19.709595,27.186563,0,0,51453.34,48220.41,0.0,0.0,0.0,0.0,14.255272,28.8,86.94715,31.46,6.150201
11,2020-01-12,51.0,27.667501,20.2675,24.638334,30.224838,18.617744,24.908457,0,0,51390.617,46591.73,0.1,0.1,0.0,1.0,35.65454,61.56,109.77044,26.37,6.0579023
