,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
0,2020-01-01,3.0,19.0565,9.0565,13.4939995,16.861649,6.6074677,11.595059,0,0,36889.11,23888.904,0.0,0.0,0.0,0.0,10.028439,22.319998,287.86603,10.38,2.081095
1,2020-01-02,2.0,16.8065,6.8065,12.131497,12.284941,3.2085814,8.55678,0,0,36917.73,32940.816,0.0,0.0,0.0,0.0,20.140705,44.28,233.23692,12.23,2.8184178
2,2020-01-03,3.0,15.9565,7.4564996,12.116917,9.609514,4.5244303,7.76039,0,0,36948.79,33823.707,0.0,0.0,0.0,0.0,25.630886,56.88,221.41512,12.9,3.18034
3,2020-01-04,2.0,16.8565,8.4565,12.373169,13.024225,5.7060404,8.911056,0,0,36982.22,33822.547,0.0,0.0,0.0,0.0,21.9718,48.6,251.31917,10.06,2.3801093
4,2020-01-05,3.0,17.7565,6.9564996,12.3815,13.614246,3.5786862,8.948187,0,0,37017.965,33899.492,0.0,0.0,0.0,0.0,17.10284,39.6,196.00865,12.85,2.8344944
5,2020-01-06,3.0,17.7565,8.356501,13.383584,12.032822,4.5584154,8.931697,0,0,37055.98,33941.09,0.0,0.0,0.0,0.0,30.027107,63.72,199.19373,12.14,3.4729111
6,2020-01-07,3.0,16.0565,10.2065,12.866918,10.160402,6.10719,8.338386,0,0,37096.2,33655.293,0.0,0.0,0.0,0.0,29.96662,63.36,231.09521,12.18,3.3656168
7,2020-01-08,1.0,16.956501,7.9564996,12.448169,11.872189,4.3360443,8.527158,0,0,37138.566,34031.367,0.0,0.0,0.0,0.0,25.277023,54.0,246.49709,12.06,2.9063396
8,2020-01-09,55.0,15.8065,9.0565,11.9627495,11.234725,5.789938,8.631637,0,0,37183.02,24292.209,2.3,2.3,0.0,5.0,22.668568,52.199997,258.61124,10.11,2.2743754
9,2020-01-10,51.0,17.9065,7.3564997,12.514834,14.150932,5.2070627,10.187486,0,0,37229.5,33697.547,0.90000004,0.90000004,0.0,5.0,16.279802,41.039997,313.51428,10.93,2.1348326
10,2020-01-11,3.0,18.6065,6.5065,12.489834,16.572762,4.9040194,10.603248,0,0,37277.96,32267.777,0.0,0.0,0.0,0.0,9.255571,19.8,229.5862,12.22,2.1065786
11,2020-01-12,51.0,18.8565,9.9565,13.283585,16.31261,6.982292,11.05412,0,0,37328.336,20391.393,0.1,0.1,0.0,1.0,10.390226,25.199999,234.34454,7.89,1.8252169
