,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
0,2020-01-01,3.0,6.691,2.091,5.113917,5.0976315,-1.0460725,2.8991096,0,0,28532.045,1941.378,0.0,0.0,0.0,0.0,9.114471,17.28,157.57077,1.57,0.21777937
1,2020-01-02,3.0,10.191,5.791,8.413917,6.580083,3.1112485,4.8401647,0,0,28602.607,4853.0293,0.0,0.0,0.0,0.0,26.562046,44.28,205.79805,1.71,0.45975995
2,2020-01-03,53.0,10.841,3.441,7.665999,6.65967,-0.3094659,3.92651,0,0,28679.066,11420.295,3.1,3.1,0.0,10.0,27.609911,46.44,264.5971,2.12,0.48680267
3,2020-01-04,2.0,8.240999,2.0410001,4.4618335,4.1833715,-0.9550495,0.9221688,0,0,28761.254,23291.967,0.0,0.0,0.0,0.0,20.211363,35.64,252.96216,3.69,0.41789526
4,2020-01-05,3.0,8.641,4.041,6.0118346,5.017743,1.248106,2.993662,0,0,28849.006,8477.357,0.0,0.0,0.0,0.0,17.429354,28.8,227.7566,2.04,0.3463783
5,2020-01-06,53.0,8.591,5.441,7.251417,5.106786,1.3739471,3.1876202,0,0,28942.17,18142.59,1.3000001,1.3000001,0.0,3.0,26.89419,45.0,216.86995,3.22,0.6499783
6,2020-01-07,51.0,12.641,4.741,8.955584,8.982634,1.7735648,5.4021306,0,0,29040.566,11519.347,0.1,0.1,0.0,1.0,29.168886,48.6,216.88686,2.58,0.43942747
7,2020-01-08,61.0,12.490999,9.091,10.843083,9.497862,7.018344,8.461628,0,0,29144.033,12583.84,3.5,3.5,0.0,8.0,27.511158,45.719997,235.90254,2.07,0.41256937
8,2020-01-09,63.0,12.641,6.491,10.768085,9.756081,3.8451815,6.942663,0,0,29252.402,18104.545,6.4999995,6.4999995,0.0,10.0,33.493546,55.8,214.1386,3.45,0.73624045
9,2020-01-10,51.0,7.691,3.691,5.4910007,4.9113054,0.14686203,2.0176032,0,0,29365.514,23790.21,0.1,0.1,0.0,1.0,18.678415,30.239998,285.32156,4.17,0.49370316
10,2020-01-11,3.0,10.191,5.191,8.951417,5.345273,0.86902475,3.8913138,0,0,29483.2,8497.79,0.0,0.0,0.0,0.0,33.061253,57.96,212.7277,2.28,1.0018023
11,2020-01-12,51.0,11.141,4.941,8.999334,6.569619,1.6453505,4.6818156,0,0,29605.291,23904.988,1.0000001,1.0000001,0.0,6.0,31.452133,54.0,229.44865,4.13,0.88449454
12,2020-01-13,55.0,10.841,5.3910003,8.280583,5.4080515,2.0204945,3.5546706,0,0,29731.633,7809.9365,4.8,4.8,0.0,9.0,43.38112,74.159996,200.09999,2.16,0.6875333
13,2020-01-14,53.0,13.091,7.091,10.29725,6.8010464,2.7774134,5.035025,0,0,29862.326,10835.25,5.4,5.4,0.0,12.0,46.0589,94.32,208.8703,2.28,0.8647904
14,2020-01-15,61.0,12.441,6.041,8.307667,7.280136,1.7637358,4.0473294,0,0,29998.818,10810.951,12.499999,12.499999,0.0,13.0,48.325893,79.92,223.40161,2.11,0.7334213
15,2020-01-16,61.0,12.290999,6.491,9.355582,7.250393,2.895115,4.949925,0,0,30141.074,11914.654,6.2,6.2,0.0,7.0,35.036713,59.039997,185.02275,2.85,0.9434811
16,2020-01-17,61.0,10.490999,2.891,7.37225,7.5856895,-0.600291,3.4292853,0,0,30288.785,24997.691,2.6999996,2.6999996,0.0,10.0,32.79361,55.44,228.50928,4.3,0.63849443
17,2020-01-18,1.0,7.1410003,0.44099998,2.7764168,3.6208687,-3.1067667,-0.7445431,0,0,30441.643,25612.275,0.0,0.0,0.0,0.0,13.896187,23.759998,284.01413,5.23,0.5101233
18,2020-01-19,1.0,6.741,-1.709,1.0180832,3.3820105,-5.9970145,-2.5971563,0,0,30599.348,25794.752,0.0,0.0,0.0,0.0,12.324414,18.72,337.56693,5.3,0.50377214
19,2020-01-20,3.0,6.691,-2.359,1.1430835,4.033703,-6.1484714,-2.1123884,0,0,30761.598,24491.426,0.0,0.0,0.0,0.0,11.435313,14.4,252.15334,5.06,0.47148347
20,2020-01-21,3.0,5.841,-2.5089998,0.30141667,3.4918628,-6.1923523,-2.9059856,0,0,30928.117,21880.336,0.0,0.0,0.0,0.0,10.931203,14.4,248.22185,4.15,0.3535475
21,2020-01-22,3.0,7.041,3.0410001,5.2514167,5.3938894,0.55219316,3.3304446,0,0,31098.604,0.0,0.0,0.0,0.0,0.0,6.130579,12.24,22.963797,1.61,0.24879386
22,2020-01-23,3.0,8.091,4.841,6.207667,6.085039,2.8278084,4.294016,0,0,31272.78,2343.662,0.0,0.0,0.0,0.0,7.9932966,16.199999,51.842735,2.37,0.32217246
23,2020-01-24,51.0,7.291,4.6410003,5.938917,5.3227987,2.4103994,3.8946278,0,0,31450.383,0.0,0.2,0.2,0.0,2.0,7.4128532,14.759999,239.21982,1.44,0.26244596
24,2020-01-25,3.0,7.691,3.2410002,5.9097505,4.990099,0.6384015,3.4078684,0,0,31631.135,4186.2573,0.0,0.0,0.0,0.0,12.879752,23.4,170.42848,2.45,0.34153464
25,2020-01-26,53.0,10.040999,6.6410003,8.197249,5.8343945,3.3896399,4.518584,0,0,31814.78,15285.82,2.8999999,2.8999999,0.0,7.0,29.775719,50.399998,199.08527,3.27,0.52373624
26,2020-01-27,63.0,8.591,5.041,6.841001,5.241432,1.1572914,3.2412205,0,0,32001.055,6655.45,6.9000006,6.9000006,0.0,8.0,21.817902,38.88,215.68721,2.6,0.4342229
27,2020-01-28,53.0,6.841,2.341,4.2555833,1.3288937,-2.979994,-0.9127485,0,0,32189.723,27382.383,1.5000001,1.5000001,0.0,5.0,32.44996,54.719997,251.05943,5.28,0.81255466
