,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
0,2020-01-01,1.0,10.055,-1.845,3.2279167,7.940501,-5.447125,0.5219647,0,0,33643.73,29913.654,0.0,0.0,0.0,0.0,7.5942073,13.32,28.896307,9.32,1.033101
1,2020-01-02,2.0,8.555,-2.145,2.5216668,6.4341917,-5.76264,-0.1937313,0,0,33687.42,29962.615,0.0,0.0,0.0,0.0,8.766573,12.959999,27.897173,9.21,0.9663747
2,2020-01-03,3.0,5.055,-0.595,1.27375,2.9806342,-3.8060741,-1.2399242,0,0,33734.816,13251.908,0.0,0.0,0.0,0.0,7.928178,13.32,54.61966,4.65,0.4872557
3,2020-01-04,1.0,10.305,0.65500003,4.48,5.8762407,-2.7167344,0.8516977,0,0,33785.805,30072.652,0.0,0.0,0.0,0.0,21.142147,37.44,38.60202,8.95,1.1089537
4,2020-01-05,0.0,10.805,-0.745,3.8820832,8.690975,-4.344597,0.86858684,0,0,33840.316,30133.508,0.0,0.0,0.0,0.0,9.449572,16.919998,29.890318,9.46,1.0847218
5,2020-01-06,0.0,10.755,-1.595,3.5279171,8.2169075,-5.2578206,0.6124246,0,0,33898.246,30198.107,0.0,0.0,0.0,0.0,7.42159,12.599999,15.780814,9.54,1.1225305
6,2020-01-07,1.0,12.455,-1.745,4.0112505,10.208625,-5.534415,1.0167087,0,0,33959.508,30266.342,0.0,0.0,0.0,0.0,8.825508,14.759999,23.488792,9.63,1.1779577
7,2020-01-08,1.0,13.305,-0.495,5.1925,10.682889,-4.218854,2.0488658,0,0,34024.016,30338.098,0.0,0.0,0.0,0.0,11.019764,13.679999,35.35671,9.29,1.2828219
8,2020-01-09,3.0,11.6050005,0.85499996,5.646667,9.072156,-2.0470014,3.0193675,0,0,34091.67,30413.271,0.0,0.0,0.0,0.0,10.805999,19.08,261.20953,9.01,1.1157038
9,2020-01-10,3.0,10.455,1.9049999,6.240416,5.128706,-1.7731977,2.2163053,0,0,34162.38,30491.744,0.0,0.0,0.0,0.0,23.441502,41.039997,9.569017,8.27,1.4892805
10,2020-01-11,0.0,10.005,-0.995,3.68,7.1026344,-4.8551245,0.19193806,0,0,34236.05,30573.418,0.0,0.0,0.0,0.0,13.004922,24.48,17.964972,10.04,1.2199795
11,2020-01-12,1.0,8.205,-4.195,1.5862498,5.672472,-7.99549,-1.4463245,0,0,34312.598,30658.164,0.0,0.0,0.0,0.0,7.42159,10.799999,3.2892325,10.22,1.1041874
12,2020-01-13,1.0,7.2549996,-3.0449998,0.5758335,3.5815258,-6.360509,-2.639548,0,0,34391.92,30325.621,0.0,0.0,0.0,0.0,10.315115,19.44,272.77908,8.36,0.92481834
13,2020-01-14,3.0,7.7549996,-3.395,2.22375,4.6845446,-6.286748,-0.5387834,0,0,34474.11,30836.855,0.0,0.0,0.0,0.0,8.913181,16.919998,211.83887,8.69,0.9610506
14,2020-01-15,3.0,8.155001,2.355,5.369583,6.0813675,-0.78855085,2.962903,0,0,34560.08,2290.144,0.0,0.0,0.0,0.0,9.746631,17.64,179.99998,3.24,0.49758884
15,2020-01-16,3.0,13.1050005,3.805,7.5779157,10.185036,1.492178,4.9948297,0,0,34649.816,19180.596,0.0,0.0,0.0,0.0,14.57889,27.0,191.2529,6.78,1.1613501
16,2020-01-17,3.0,10.255,4.355,7.552917,7.0019045,2.0647702,4.4066358,0,0,34743.15,22240.355,0.0,0.0,0.0,0.0,19.33639,34.2,241.13124,5.37,0.8884914
17,2020-01-18,55.0,9.455,4.305,6.605,6.609432,2.300212,4.2292457,0,0,34839.902,179.02817,5.2999997,5.2999997,0.0,14.0,17.25373,29.88,216.43094,2.19,0.43605453
18,2020-01-19,51.0,9.455,2.755,5.23625,2.4156532,-4.616703,0.022977332,0,0,34939.887,27583.568,0.3,0.3,0.0,2.0,34.62369,60.839996,14.696549,7.41,1.9392887
