,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
0,2020-01-01,2.0,17.7325,3.0325,10.7699995,16.23276,0.469357,8.81808,0,0,37268.87,32369.469,0.0,0.0,0.0,0.0,10.495713,21.599998,73.51547,11.78,1.803299
1,2020-01-02,1.0,19.4825,6.7324996,13.415833,18.196749,4.2579374,12.0665865,0,0,37295.8,33220.812,0.0,0.0,0.0,0.0,11.966954,20.880001,78.67108,11.88,1.9921077
2,2020-01-03,51.0,18.932499,8.632501,13.895,18.345402,7.176201,13.224022,0,0,37325.016,33649.582,0.1,0.1,0.0,1.0,9.220499,17.28,58.71157,11.82,1.8761022
3,2020-01-04,51.0,18.7325,8.7825,13.313752,18.188318,7.4645576,12.654675,0,0,37356.47,33039.027,0.2,0.2,0.0,2.0,8.350138,16.919998,329.2435,10.66,1.7280788
4,2020-01-05,2.0,19.6325,7.6825,13.699168,17.259832,5.488015,12.383374,0,0,37390.105,31287.38,0.0,0.0,0.0,0.0,13.441071,24.119999,299.74478,12.14,2.0953193
5,2020-01-06,3.0,16.4825,10.2825,13.378333,15.320198,9.48243,12.30746,0,0,37425.87,14825.584,0.0,0.0,0.0,0.0,11.165805,16.919998,66.42863,5.93,1.1882915
6,2020-01-07,55.0,17.432499,10.9825,13.992917,16.135195,9.672869,13.023557,0,0,37463.71,10178.283,3.9,3.9,0.0,10.0,15.509274,26.64,100.92095,6.6,1.2614946
7,2020-01-08,63.0,14.9825,7.2825,12.040835,15.168987,4.4753695,10.868041,0,0,37503.574,1189.4014,13.9,13.9,0.0,13.0,14.021525,21.24,334.76718,4.48,0.8261675
8,2020-01-09,0.0,15.882501,5.7825,9.920001,12.52437,2.7025237,7.2953167,0,0,37545.406,34491.246,0.0,0.0,0.0,0.0,16.279802,28.44,313.68008,13.36,1.9768263
9,2020-01-10,0.0,16.582499,5.1825,9.888749,13.775963,2.2772741,7.27142,0,0,37589.15,34538.73,0.0,0.0,0.0,0.0,15.9134655,28.08,307.00345,13.64,2.0196834
10,2020-01-11,2.0,16.832499,5.7825,10.669999,14.756563,3.0173583,8.763469,0,0,37634.754,32845.09,0.0,0.0,0.0,0.0,11.367109,23.039999,304.63086,12.88,1.9538764
11,2020-01-12,1.0,19.4825,5.9824996,12.263751,18.083641,3.7394762,10.685796,0,0,37682.168,34639.63,0.0,0.0,0.0,0.0,10.538843,21.24,265.84042,13.24,2.1368418
12,2020-01-13,63.0,20.3825,9.632501,15.36375,19.96659,7.649481,14.6432905,0,0,37731.332,31757.295,18.400003,18.400003,0.0,13.0,18.875126,47.88,123.89619,10.27,1.850468
13,2020-01-14,3.0,18.2825,8.0825,12.961667,18.21318,6.184147,12.016602,0,0,37782.297,28308.004,0.0,0.0,0.0,0.0,11.212135,19.08,321.81897,9.63,1.564648
14,2020-01-15,2.0,18.332499,7.1324997,12.7283325,17.357473,5.1702623,11.528792,0,0,37835.65,34806.03,0.0,0.0,0.0,0.0,12.522619,18.359999,333.38632,13.54,2.0672302
15,2020-01-16,55.0,15.882501,9.0825,12.172085,15.193874,7.524683,11.261147,0,0,37891.37,18817.957,9.999999,9.999999,0.0,14.0,9.531505,23.4,358.48953,7.62,1.2203616
16,2020-01-17,51.0,17.7825,9.7325,13.02625,17.085869,8.755867,12.406501,0,0,37949.37,34649.78,0.2,0.2,0.0,2.0,10.685391,20.880001,349.6527,10.39,1.6042578
17,2020-01-18,51.0,17.1325,8.0825,12.326251,16.37168,6.267625,11.487382,0,0,38009.535,26821.832,0.2,0.2,0.0,2.0,10.805999,18.72,339.4067,10.05,1.5934138
18,2020-01-19,2.0,17.5325,7.5825,11.620002,15.601091,5.355917,9.762379,0,0,38071.758,35062.055,0.0,0.0,0.0,0.0,13.202726,25.199999,295.3302,14.23,2.141859
19,2020-01-20,3.0,17.3825,7.0325,12.515834,16.435112,4.5309124,11.704849,0,0,38135.934,26415.264,0.0,0.0,0.0,0.0,10.990322,21.96,302.66507,11.69,1.7975622
20,2020-01-21,3.0,18.1325,7.8325,12.584583,17.417627,6.2960367,11.901614,0,0,38201.96,30660.646,0.0,0.0,0.0,0.0,9.19939,14.759999,64.47319,13.1,2.0525203
21,2020-01-22,3.0,18.582499,7.3325,12.415835,16.917637,5.6126013,10.512943,0,0,38269.734,33730.203,0.0,0.0,0.0,0.0,15.2947035,25.919998,300.9886,14.19,2.2950454
22,2020-01-23,1.0,17.682499,8.0325,12.070001,13.664562,3.8641596,8.511233,0,0,38339.152,35351.438,0.0,0.0,0.0,0.0,23.469128,38.519997,296.11212,14.92,2.8819745
23,2020-01-24,1.0,19.182499,6.0325,12.055416,15.4501915,3.397449,8.910206,0,0,38410.113,35428.098,0.0,0.0,0.0,0.0,22.086521,36.36,286.0003,14.95,2.8265092
24,2020-01-25,1.0,17.932499,5.4325,12.192916,16.587494,2.8928328,10.948861,0,0,38482.52,35506.26,0.0,0.0,0.0,0.0,8.435069,18.72,319.64902,13.92,2.165608
25,2020-01-26,3.0,19.932499,7.0325,13.295001,18.75312,5.370408,12.529209,0,0,38556.27,30820.94,0.0,0.0,0.0,0.0,10.296251,20.880001,302.12494,14.05,2.2635317
26,2020-01-27,61.0,19.5325,9.2325,13.920001,18.595201,8.018084,12.550246,0,0,38631.273,20022.271,6.2,6.2,0.0,8.0,16.418526,33.12,64.55747,8.79,1.8184601
27,2020-01-28,61.0,18.8825,10.2825,14.009583,17.605999,9.419212,12.849717,0,0,38707.426,27693.365,8.9,8.9,0.0,12.0,20.60823,34.56,103.09011,9.86,1.6698537
28,2020-01-29,3.0,18.432499,8.2825,12.878333,17.853662,6.3717556,11.684662,0,0,38784.645,33397.68,0.0,0.0,0.0,0.0,10.383987,17.28,338.37115,13.64,2.2259967
29,2020-01-30,0.0,18.182499,7.7825,12.322083,15.833794,5.375984,10.269939,0,0,38862.824,35682.547,0.0,0.0,0.0,0.0,17.81909,30.599998,311.95398,15.17,2.4240825
30,2020-01-31,1.0,17.3825,7.2825,12.117917,15.424534,4.879898,10.382708,0,0,38941.88,35714.74,0.0,0.0,0.0,0.0,13.0447235,25.199999,316.0014,15.53,2.370896
31,2020-02-01,2.0,18.182499,7.1825,11.901249,16.620886,4.626546,10.165808,0,0,39021.72,35748.203,0.0,0.0,0.0,0.0,12.313894,23.759998,324.66858,15.37,2.5192251
32,2020-02-02,0.0,18.082499,6.5325,11.578334,15.930418,4.0713253,9.554004,0,0,39102.258,35782.945,0.0,0.0,0.0,0.0,14.336861,26.64,295.2362,16.05,2.4844675
33,2020-02-03,0.0,18.682499,5.9325,12.478335,17.379257,3.395886,10.959754,0,0,39183.555,35818.93,0.0,0.0,0.0,0.0,9.605998,19.8,295.25308,16.2,2.5470989
34,2020-02-04,1.0,19.4825,7.1324997,13.3324995,18.72914,5.104501,11.934024,0,0,39266.42,35856.523,0.0,0.0,0.0,0.0,10.685391,21.96,66.636955,15.4,2.5700738
35,2020-02-05,1.0,18.932499,6.9325,12.472081,16.699055,4.4981346,10.438428,0,0,39350.895,35895.875,0.0,0.0,0.0,0.0,16.055355,28.8,314.14328,15.77,2.6147168
36,2020-02-06,1.0,17.2825,6.6324997,12.18875,16.139278,4.119076,10.551812,0,0,39436.867,35936.914,0.0,0.0,0.0,0.0,10.495713,20.880001,309.35666,16.08,2.4665685
37,2020-02-07,51.0,17.932499,6.7825,12.255417,17.03905,4.3194075,10.697686,0,0,39524.234,35979.53,0.1,0.1,0.0,1.0,11.4862,30.239998,324.31775,14.63,2.4303994
38,2020-02-08,0.0,19.082499,6.9824996,12.47625,17.52602,4.7344427,10.891982,0,0,39612.895,36000.0,0.0,0.0,0.0,0.0,10.883676,22.319998,305.51385,16.63,2.6477332
39,2020-02-09,1.0,19.7825,6.3824997,12.909585,18.681173,4.3388653,11.6412115,0,0,39702.74,36000.0,0.0,0.0,0.0,0.0,9.19939,20.880001,317.38995,16.92,2.711931
40,2020-02-10,1.0,19.932499,7.0825,13.37,18.367128,4.7057047,11.999329,0,0,39793.67,36000.0,0.0,0.0,0.0,0.0,10.787993,23.4,309.01938,17.15,2.8091378
41,2020-02-11,0.0,20.432499,6.8325,13.730418,19.03768,5.0539694,12.410043,0,0,39885.594,36000.0,0.0,0.0,0.0,0.0,10.703569,23.039999,314.99988,17.22,2.8951993
42,2020-02-12,1.0,23.7825,8.632501,16.626251,21.452871,6.584852,14.6321335,0,0,39978.4,36000.0,0.0,0.0,0.0,0.0,19.272614,34.2,289.67386,16.78,3.6081958
43,2020-02-13,0.0,26.7325,12.5325,19.282501,24.715027,9.938272,16.928513,0,0,40072.0,36000.0,0.0,0.0,0.0,0.0,20.833395,35.28,291.9256,16.97,4.553477
