,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
0,2020-01-01,1.0,11.0665,-1.9334999,3.6769164,8.614102,-5.758904,0.5768792,0,0,33064.285,28861.887,0.0,0.0,0.0,0.0,9.585739,17.64,39.997986,8.29,0.9773988
1,2020-01-02,0.0,12.3165,-1.4835,4.0977497,10.766667,-5.307796,1.1640564,0,0,33110.797,28970.973,0.0,0.0,0.0,0.0,11.435313,20.519999,39.093845,8.29,0.9539977
2,2020-01-03,1.0,12.4165,0.26649997,4.8289995,10.9521265,-2.9476666,2.2116325,0,0,33161.242,28899.273,0.0,0.0,0.0,0.0,10.182337,16.199999,34.99209,8.13,0.92598844
3,2020-01-04,3.0,12.5164995,2.0165,6.4185834,11.674955,-1.0933385,4.1450453,0,0,33215.523,27893.691,0.0,0.0,0.0,0.0,8.891343,16.199999,38.627907,6.54,0.83555025
4,2020-01-05,1.0,13.9665,1.9165,6.193584,12.3365555,-1.3801267,2.9705887,0,0,33273.535,29435.965,0.0,0.0,0.0,0.0,16.575644,34.2,23.787954,8.46,1.3455763
5,2020-01-06,0.0,11.0164995,-0.4835,4.495667,6.379465,-4.024133,0.23583466,0,0,33335.19,29504.857,0.0,0.0,0.0,0.0,18.58451,36.719997,1.3035464,8.64,1.4949124
6,2020-01-07,1.0,9.0665,-1.8335,2.754,6.4563694,-5.5896735,-0.4256536,0,0,33400.38,28233.746,0.0,0.0,0.0,0.0,8.4963045,19.8,38.486603,7.72,0.87650216
7,2020-01-08,2.0,12.5164995,1.3165001,5.972751,10.380953,-1.6654575,3.1668718,0,0,33469.016,29654.164,0.0,0.0,0.0,0.0,9.6932955,23.4,25.3838,8.49,1.0690998
8,2020-01-09,0.0,11.4165,-0.93350005,3.8373327,9.518414,-4.5943184,0.8753524,0,0,33540.984,29734.334,0.0,0.0,0.0,0.0,9.504272,15.84,53.70485,8.72,0.9911345
9,2020-01-10,1.0,13.1665,0.11649999,5.3873334,11.812651,-3.4330845,2.8044872,0,0,33616.2,29805.062,0.0,0.0,0.0,0.0,9.0,12.599999,27.774176,7.58,0.96436334
10,2020-01-11,0.0,12.5665,0.1665,5.5852494,10.187385,-3.3954892,2.8371632,0,0,33694.56,29905.125,0.0,0.0,0.0,0.0,9.19939,19.44,27.303766,8.73,1.0491376
11,2020-01-12,0.0,13.5164995,-0.28350002,5.2539997,11.808752,-3.5358796,2.5045984,0,0,33775.965,29995.5,0.0,0.0,0.0,0.0,10.829959,17.28,10.222093,8.87,1.0802438
12,2020-01-13,2.0,12.5164995,0.1665,5.381084,10.640547,-3.27592,2.7387695,0,0,33860.316,30089.033,0.0,0.0,0.0,0.0,7.968939,18.72,40.975086,8.4,1.0171059
13,2020-01-14,3.0,13.2165,1.3665,6.849834,11.897194,-1.6324337,4.5484834,0,0,33947.695,30185.963,0.0,0.0,0.0,0.0,8.049845,15.4800005,29.898869,7.95,1.017652
14,2020-01-15,0.0,12.8165,-0.8835,5.320667,10.611235,-4.1992464,2.6157165,0,0,34039.086,30287.326,0.0,0.0,0.0,0.0,8.714677,17.64,30.86485,9.13,1.0890396
