,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
0,2020-01-01,1.0,33.6325,24.332499,28.763756,34.013718,26.062157,30.031357,0,0,40787.664,38087.77,0.0,0.0,0.0,0.0,21.67487,38.88,56.664223,18.99,5.6011252
1,2020-01-02,2.0,33.3325,23.832499,28.780418,34.91604,25.808203,30.477592,0,0,40799.34,38100.996,0.0,0.0,0.0,0.0,18.511143,34.92,50.494526,18.44,5.2776937
2,2020-01-03,1.0,33.732502,23.432499,28.830421,35.48053,25.68244,31.06964,0,0,40812.016,38115.348,0.0,0.0,0.0,0.0,13.089354,25.919998,54.083694,17.87,4.778579
3,2020-01-04,2.0,33.482502,23.432499,28.899168,35.48149,26.331448,31.355614,0,0,40825.664,38130.78,0.0,0.0,0.0,0.0,12.074766,26.64,58.684086,17.87,4.7387547
4,2020-01-05,0.0,34.1325,23.5325,28.761667,35.482212,26.092035,30.877304,0,0,40840.26,38147.29,0.0,0.0,0.0,0.0,15.158522,30.239998,62.24842,19.35,5.0181046
5,2020-01-06,1.0,34.0325,23.332499,28.928331,35.77829,25.801126,31.317156,0,0,40855.79,38164.84,0.0,0.0,0.0,0.0,12.599998,27.0,86.94349,18.75,4.638554
6,2020-01-07,1.0,34.732502,23.2325,29.042917,36.239,27.205719,31.742373,0,0,40872.223,38183.39,0.0,0.0,0.0,0.0,11.923557,25.919998,52.662823,19.52,4.736286
7,2020-01-08,51.0,34.432503,24.082499,30.034578,36.149445,28.46754,33.222614,0,0,40889.54,38202.93,0.1,0.1,0.0,1.0,15.379206,30.599998,67.76717,17.16,4.5142617
8,2020-01-09,1.0,34.2825,24.7325,30.105413,36.28472,29.149738,33.310947,0,0,40907.72,38223.42,0.0,0.0,0.0,0.0,11.480557,25.56,22.988754,16.84,4.449641
9,2020-01-10,51.0,35.0325,26.0325,30.095001,37.44074,31.08688,34.174908,0,0,40926.74,38244.83,0.1,0.1,0.0,1.0,14.561099,26.28,188.80664,16.23,4.164114
10,2020-01-11,51.0,33.982502,26.6325,29.565832,38.65834,32.65463,34.68304,0,0,40946.566,36921.52,1.2,1.2,0.0,5.0,8.4042845,21.96,200.92455,14.65,3.32111
11,2020-01-12,53.0,33.0825,24.2825,28.576248,37.753323,28.684475,33.402935,0,0,40967.19,36423.418,1.6000001,1.6000001,0.0,8.0,11.165805,22.68,160.5161,16.1,3.8368683
12,2020-01-13,53.0,32.0325,25.082499,28.259584,34.91462,29.674942,32.80701,0,0,40988.586,38314.34,1.1,1.1,0.0,5.0,13.5515,29.16,165.00485,15.94,3.7549355
13,2020-01-14,51.0,32.182503,24.682499,28.15125,35.675247,30.053902,32.569637,0,0,41010.773,38339.26,0.4,0.4,0.0,2.0,12.245293,25.919998,184.11583,17.17,3.9890242
14,2020-01-15,51.0,30.832499,25.2825,28.095001,36.318615,30.517204,32.718327,0,0,41034.01,38365.5,0.8000001,0.8000001,0.0,4.0,10.009036,23.039999,200.80684,14.92,3.4822
15,2020-01-16,51.0,32.982502,25.082499,28.330414,35.71916,29.892303,32.666317,0,0,41058.293,38392.92,0.2,0.2,0.0,2.0,13.089354,24.84,188.20981,16.84,3.9570692
16,2020-01-17,1.0,33.1325,25.432499,28.965834,36.414276,31.53368,33.64166,0,0,41083.58,38421.465,0.0,0.0,0.0,0.0,9.085988,21.96,198.18912,15.3,3.5455685
17,2020-01-18,51.0,32.0325,25.582499,28.915833,35.856377,31.628689,33.69427,0,0,41109.812,38431.95,0.1,0.1,0.0,1.0,9.227524,21.96,183.53792,14.68,3.5860827
18,2020-01-19,51.0,32.0825,26.1325,28.740835,37.044132,31.388878,33.772648,0,0,41136.96,38159.44,1.9,1.9,0.0,10.0,11.792404,28.44,188.04895,15.59,3.6283152
19,2020-01-20,51.0,32.682503,25.2325,28.669998,35.806538,31.075829,33.27631,0,0,41164.977,38513.234,0.1,0.1,0.0,1.0,9.885262,26.28,164.4758,15.53,3.6851075
20,2020-01-21,51.0,32.3325,24.832499,28.495,36.07451,30.924042,33.3673,0,0,41193.81,37917.56,0.70000005,0.70000005,0.0,5.0,10.495713,21.96,194.1407,17.1,3.9349089
21,2020-01-22,51.0,33.682503,25.582499,28.99917,38.215477,30.791676,33.922115,0,0,41223.418,37646.523,0.2,0.2,0.0,2.0,11.503113,20.519999,203.51219,16.89,3.9204063
22,2020-01-23,51.0,33.182503,25.8825,29.082497,37.594124,30.943115,33.67416,0,0,41253.766,38613.094,0.8,0.8,0.0,5.0,12.904882,24.48,185.57416,17.89,4.343186
