,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
0,2020-01-01,3.0,17.694,16.694,17.20025,15.740885,13.154621,14.514689,0,0,38873.445,34690.61,0.0,0.0,0.0,0.0,31.006012,45.719997,79.923,14.78,2.6200104
1,2020-01-02,3.0,18.094,16.844,17.552332,17.572662,14.727116,16.474033,0,0,38893.324,32471.01,0.0,0.0,0.0,0.0,23.241617,40.32,77.40817,14.23,2.2936673
2,2020-01-03,1.0,19.094,17.744,18.266918,18.28216,16.390865,17.748505,0,0,38914.902,33501.867,0.0,0.0,0.0,0.0,23.000591,32.760002,65.86607,15.55,2.3721497
3,2020-01-04,3.0,19.344,17.394,18.629416,19.488327,15.467464,17.830349,0,0,38938.133,33962.625,0.0,0.0,0.0,0.0,34.268143,45.0,76.99887,15.17,2.5103545
4,2020-01-05,3.0,19.344,18.244,18.994001,17.905193,15.29627,17.087313,0,0,38962.977,30472.982,0.0,0.0,0.0,0.0,33.927967,44.639996,70.97231,12.9,2.2319803
5,2020-01-06,3.0,19.844,18.844,19.546083,20.67569,17.315777,19.18654,0,0,38989.402,31217.11,0.0,0.0,0.0,0.0,28.61264,37.079998,74.70134,13.88,2.1098714
6,2020-01-07,3.0,20.694,19.044,20.050253,23.51968,16.065266,21.894304,0,0,39017.355,34785.594,0.0,0.0,0.0,0.0,26.121714,34.2,56.715504,13.91,2.278586
7,2020-01-08,1.0,22.244,18.094,19.939833,21.772038,14.521002,17.840399,0,0,39046.812,35154.715,0.0,0.0,0.0,0.0,37.806854,50.039997,68.290985,15.84,3.6259317
8,2020-01-09,3.0,19.044,17.544,18.416916,18.290668,13.895233,16.34971,0,0,39077.73,33930.99,0.0,0.0,0.0,0.0,37.066017,50.76,78.07863,13.27,2.1199472
9,2020-01-10,3.0,19.494,18.294,19.100248,19.163847,16.300213,18.357729,0,0,39110.066,31896.469,0.0,0.0,0.0,0.0,28.277763,37.44,84.26974,13.74,2.1648042
10,2020-01-11,2.0,20.594,12.7439995,18.014833,23.369965,7.980871,16.59843,0,0,39143.785,33809.33,0.0,0.0,0.0,0.0,31.97319,45.0,20.426409,13.19,3.0860505
11,2020-01-12,53.0,18.594,13.194,16.519,16.457233,8.698851,13.881699,0,0,39178.848,31900.533,0.90000004,0.90000004,0.0,4.0,29.122198,42.48,40.84803,14.61,3.1128166
12,2020-01-13,3.0,18.244,16.944,17.673166,17.240597,14.242615,15.561093,0,0,39215.207,35009.543,0.0,0.0,0.0,0.0,31.079071,42.48,79.147545,14.75,2.6065495
13,2020-01-14,3.0,19.094,17.694,18.452333,18.555182,14.564861,16.377546,0,0,39252.91,35900.41,0.0,0.0,0.0,0.0,36.457886,48.96,81.13643,15.34,2.8882225
14,2020-01-15,51.0,19.294,17.594,18.5315,18.08951,15.054504,16.461508,0,0,39292.383,32430.924,0.1,0.1,0.0,1.0,32.305862,45.0,76.85087,15.4,2.3584478
15,2020-01-16,3.0,19.544,14.144,18.054417,20.573326,9.329716,16.480953,0,0,39333.625,35012.473,0.0,0.0,0.0,0.0,30.861471,43.56,49.960007,15.17,2.8788543
16,2020-01-17,3.0,19.044,13.794,16.66275,17.332016,9.758615,13.754888,0,0,39376.555,35175.844,0.0,0.0,0.0,0.0,25.376808,42.839996,28.154903,14.55,3.4552388
17,2020-01-18,51.0,18.444,15.144,17.221083,17.422838,11.82929,15.329436,0,0,39421.1,27992.709,0.3,0.3,0.0,3.0,26.649727,36.719997,63.650726,12.62,2.439915
18,2020-01-19,51.0,17.594,14.594,16.0565,16.418163,11.298575,13.813666,0,0,39467.184,4715.546,0.4,0.4,0.0,3.0,23.507751,37.44,25.307617,6.67,1.9882607
19,2020-01-20,3.0,18.294,14.844,17.391918,18.00948,13.109028,16.315102,0,0,39514.715,36004.496,0.0,0.0,0.0,0.0,23.893261,32.039997,71.157104,15.97,2.5947905
20,2020-01-21,3.0,19.644,17.894,18.56275,19.74821,15.279192,17.139006,0,0,39563.64,27987.389,0.0,0.0,0.0,0.0,31.104082,41.760002,76.61773,13.86,2.2896276
21,2020-01-22,3.0,19.944,18.294,19.569,20.600441,18.058231,20.010576,0,0,39613.86,31556.951,0.0,0.0,0.0,0.0,18.35647,28.8,66.59529,14.27,2.1453788
22,2020-01-23,51.0,20.794,20.044,20.423168,22.766132,21.549906,22.138376,0,0,39665.316,35063.15,0.1,0.1,0.0,1.0,16.375053,20.519999,77.45702,15.65,2.2797384
