,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
0,2020-01-01,63.0,27.474,23.924002,25.596918,33.528835,28.636883,30.792847,0,0,44896.92,6589.148,25.000002,25.000002,0.0,23.0,11.159999,30.239998,266.74503,7.77,1.6602945
1,2020-01-02,53.0,29.774,24.224,26.884415,33.991398,28.929325,31.40081,0,0,44891.38,31883.82,1.8000001,1.8000001,0.0,9.0,16.78156,42.839996,276.40143,19.04,4.0057435
2,2020-01-03,63.0,29.924002,23.574001,26.776083,35.388023,26.82429,31.087997,0,0,44885.367,36583.45,18.499998,18.499998,0.0,15.0,18.043148,42.12,285.2363,18.0,3.760737
3,2020-01-04,61.0,28.924002,24.824001,26.698997,33.40799,28.97416,31.245993,0,0,44878.895,24778.832,6.7,6.7,0.0,10.0,17.114204,44.639996,284.9015,13.78,2.9243302
4,2020-01-05,63.0,27.974,23.574001,25.61775,32.53469,27.382019,29.872599,0,0,44871.977,2908.2559,21.400003,21.400003,0.0,18.0,18.057508,42.839996,277.1249,7.88,1.7243552
5,2020-01-06,63.0,29.124,23.824001,26.11775,33.315712,27.832611,30.688303,0,0,44864.617,25904.03,14.2,14.2,0.0,17.0,17.935081,47.88,277.96414,15.49,3.1284606
6,2020-01-07,61.0,28.774,24.624,26.382334,33.75809,28.915092,31.01771,0,0,44856.836,30294.963,4.799999,4.799999,0.0,11.0,20.945072,45.0,274.18048,14.9,3.060659
7,2020-01-08,61.0,28.524,23.924002,26.215668,33.626827,28.509071,31.29128,0,0,44848.63,28867.535,18.400003,18.400003,0.0,21.0,17.873556,44.28,280.51117,16.03,3.1989794
8,2020-01-09,65.0,28.524,24.124,25.596918,33.37389,28.524036,30.54962,0,0,44840.027,5121.481,55.899994,55.899994,0.0,23.0,12.88981,37.079998,274.97464,8.29,1.7792935
9,2020-01-10,65.0,26.824001,24.024,24.828165,32.254066,28.322544,29.373384,0,0,44831.027,60.51682,35.799995,35.799995,0.0,23.0,10.799999,33.12,256.58466,5.32,1.2329082
10,2020-01-11,55.0,27.074001,24.074001,25.605253,31.1795,28.194832,29.658834,0,0,44821.65,12882.539,5.1,5.1,0.0,11.0,16.263872,42.48,250.02274,9.16,2.0624988
11,2020-01-12,51.0,29.874,24.624,27.11567,33.898357,28.663197,31.465057,0,0,44811.895,40857.88,2.2,2.2,0.0,13.0,20.326454,44.639996,289.1579,21.04,4.33106
12,2020-01-13,53.0,29.424002,24.774,26.788584,34.67717,29.127918,31.408007,0,0,44801.78,38803.0,1.9000002,1.9000002,0.0,12.0,17.377226,42.48,291.23163,19.13,3.8655112
13,2020-01-14,61.0,29.624,23.874,26.734419,34.73923,28.45391,31.579603,0,0,44791.3,37659.77,9.700001,9.700001,0.0,15.0,16.418526,39.239998,297.8802,20.06,4.0555987
14,2020-01-15,51.0,28.774,24.924002,26.830252,33.918888,29.981407,32.167393,0,0,44780.332,31674.686,1.6000001,1.6000001,0.0,10.0,9.114471,28.08,291.404,13.99,2.8851607
15,2020-01-16,61.0,29.824001,24.024,26.438583,36.01227,29.27113,32.017887,0,0,44768.875,41082.344,8.0,8.0,0.0,13.0,15.141414,37.079998,297.0557,21.03,4.125343
16,2020-01-17,53.0,29.874,24.524,26.994837,36.370792,29.522163,32.68906,0,0,44756.953,41343.18,5.8,5.8,0.0,14.0,15.459054,36.36,299.98157,23.08,4.55806
17,2020-01-18,61.0,29.274,24.324001,26.673996,34.313046,29.81361,31.921272,0,0,44744.586,37409.617,2.3,2.3,0.0,5.0,15.349684,36.36,315.36725,18.12,3.6509266
18,2020-01-19,61.0,29.774,24.374,27.136503,36.180294,29.444393,32.830753,0,0,44731.797,42168.41,5.3999996,5.3999996,0.0,17.0,12.661564,31.68,325.63705,22.46,4.455248
19,2020-01-20,63.0,29.374,24.574001,26.95108,35.142548,29.499763,32.475483,0,0,44718.605,40639.082,15.8,15.8,0.0,16.0,15.815435,34.92,295.76367,18.35,3.6590075
20,2020-01-21,65.0,29.124,25.524,26.915663,35.426003,30.74364,32.702953,0,0,44705.04,33628.64,19.500002,19.500002,0.0,15.0,10.739832,27.359999,342.5198,15.62,3.1752324
21,2020-01-22,61.0,29.974,25.474,27.273996,36.590744,30.7873,33.129845,0,0,44691.117,32257.02,5.7,5.7,0.0,13.0,12.387348,29.519999,315.4291,18.54,3.7652702
22,2020-01-23,63.0,29.824001,25.374,27.344835,35.18263,31.046093,33.086422,0,0,44676.86,38261.387,6.4999986,6.4999986,0.0,16.0,12.261157,29.519999,308.11255,18.23,3.730827
23,2020-01-24,63.0,28.424002,24.574001,26.394835,33.997547,29.351612,32.09216,0,0,44662.285,22576.945,47.2,47.2,0.0,23.0,10.041354,25.919998,311.71902,13.15,2.6995008
24,2020-01-25,65.0,27.174002,23.974,25.532333,31.837406,29.362198,30.473555,0,0,44647.418,3810.1587,34.9,34.9,0.0,17.0,18.59845,38.16,289.2561,7.25,1.6028463
25,2020-01-26,61.0,29.524,24.524,26.603167,35.66061,29.754566,32.25411,0,0,44632.28,41416.39,8.099999,8.099999,0.0,17.0,14.973576,34.56,354.8445,20.12,3.9434516
26,2020-01-27,63.0,29.024,24.874,26.640665,35.40578,30.61008,32.39123,0,0,44616.887,41282.6,9.100001,9.100001,0.0,19.0,14.561099,33.48,20.449644,19.59,3.7630105
27,2020-01-28,61.0,29.874,25.174002,27.251081,37.45385,31.246426,33.464928,0,0,44601.26,40190.348,2.8999999,2.8999999,0.0,9.0,14.830076,37.44,327.29773,20.25,4.004853
28,2020-01-29,61.0,30.024,24.574001,27.284416,36.642105,29.792362,32.90106,0,0,44585.426,37335.605,7.199999,7.199999,0.0,16.0,14.529915,34.56,302.25793,22.32,4.463103
29,2020-01-30,51.0,29.974,24.724,27.430252,35.41443,29.933674,32.561954,0,0,44569.395,29541.379,0.3,0.3,0.0,2.0,12.475961,30.960001,312.27362,17.96,3.8746653
30,2020-01-31,63.0,28.324001,23.724,26.265665,33.69349,28.163555,31.472069,0,0,44553.188,5995.0186,15.8,15.8,0.0,24.0,11.090103,30.239998,341.39743,10.1,2.167414
31,2020-02-01,63.0,28.274,23.874,25.994835,33.847874,28.49112,31.401064,0,0,44536.83,28439.148,14.400001,14.400001,0.0,20.0,9.220499,30.960001,306.64005,14.36,2.8706994
