,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
0,2020-01-01,51.0,24.274,6.624,16.149,21.05378,4.1580715,13.806457,0,0,39528.184,36695.523,0.2,0.2,0.0,2.0,21.791153,38.88,166.03667,19.0,4.0875645
1,2020-01-02,1.0,21.524,11.224,15.898998,17.59101,7.4050665,12.406793,0,0,39545.24,35784.227,0.0,0.0,0.0,0.0,25.537172,45.719997,148.75626,18.19,4.2887206
2,2020-01-03,2.0,22.974,8.124,14.711499,19.042114,6.304413,11.280889,0,0,39563.746,35606.906,0.0,0.0,0.0,0.0,26.427528,46.44,127.33068,18.55,4.3257303
3,2020-01-04,3.0,19.224,6.774,12.13025,16.645073,4.0755596,9.078811,0,0,39583.676,35235.22,0.0,0.0,0.0,0.0,19.242327,43.199997,327.875,17.93,3.447278
4,2020-01-05,1.0,22.574001,2.774,11.084416,19.521091,0.114216805,8.305345,0,0,39604.99,36781.184,0.0,0.0,0.0,0.0,19.9954,34.56,327.05914,19.87,3.683289
5,2020-01-06,1.0,24.624,4.024,13.513583,22.335098,1.0997362,10.654442,0,0,39627.656,36806.61,0.0,0.0,0.0,0.0,14.04,21.96,1.9805547,20.02,3.9344802
6,2020-01-07,1.0,20.724,6.524,14.81775,16.626873,2.6213841,11.110088,0,0,39651.65,36833.555,0.0,0.0,0.0,0.0,18.25026,30.599998,0.5575942,20.25,4.3877487
7,2020-01-08,3.0,22.374,4.724,12.098999,20.694666,2.721796,9.490518,0,0,39676.92,35388.63,0.0,0.0,0.0,0.0,20.497883,32.760002,336.5519,19.57,3.8688397
8,2020-01-09,3.0,24.124,5.174,14.374001,22.143217,3.2262964,12.146161,0,0,39703.45,36260.344,0.0,0.0,0.0,0.0,19.85556,34.2,108.31388,19.89,4.079268
9,2020-01-10,0.0,24.524,5.224,14.638584,21.797447,2.3196092,11.9088125,0,0,39731.203,36923.13,0.0,0.0,0.0,0.0,21.129883,38.16,155.60623,20.38,4.3493757
10,2020-01-11,1.0,23.674002,6.524,14.876083,21.866175,3.962019,12.616501,0,0,39760.14,36955.766,0.0,0.0,0.0,0.0,14.021525,36.719997,231.63237,20.26,3.8949325
