,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
0,2020-01-01,71.0,0.963,-4.787,-1.5015835,-3.5380082,-9.683958,-7.0775094,0,0,25626.139,4176.5386,0.4,0.1,0.21000001,3.0,29.035288,47.519997,312.21182,1.1,0.4326309
1,2020-01-02,73.0,1.463,-0.687,0.66300005,-2.6896362,-5.9751887,-4.3486753,0,0,25714.697,0.0,3.3,0.1,2.2400002,13.0,23.233253,38.16,256.15533,0.51,0.22082499
2,2020-01-03,3.0,2.663,-1.637,0.6234167,-2.4028113,-7.441088,-4.427762,0,0,25810.566,1024.0536,0.0,0.0,0.0,0.0,21.897945,34.92,238.00894,1.13,0.21858925
3,2020-01-04,73.0,1.063,-2.687,-0.7932499,-3.740946,-8.393936,-6.133955,0,0,25913.516,0.0,1.3000001,0.0,0.90999997,4.0,22.380884,40.68,227.53133,0.53,0.26562038
4,2020-01-05,3.0,1.213,-1.587,-0.22241665,-3.2730563,-6.0321755,-4.9057126,0,0,26023.33,11020.238,0.0,0.0,0.0,0.0,19.852295,32.399998,270.1903,1.47,0.35903484
5,2020-01-06,3.0,-0.737,-3.837,-1.9703335,-4.491545,-8.501495,-6.1101737,0,0,26139.785,11523.074,0.0,0.0,0.0,0.0,12.4811535,20.519999,267.3246,1.58,0.28561908
6,2020-01-07,71.0,-0.13700001,-2.837,-1.3036666,-4.5578465,-7.916652,-5.914251,0,0,26262.645,0.0,0.9000001,0.0,0.63,9.0,15.629971,27.0,235.94514,0.77,0.27036986
7,2020-01-08,71.0,0.61300004,-0.737,-0.17866667,-4.132731,-6.779792,-5.1372466,0,0,26391.686,0.0,0.6,0.0,0.48999998,6.0,24.122686,39.239998,228.71997,0.54,0.247326
8,2020-01-09,73.0,2.763,-0.687,0.53175,-2.076168,-6.9250555,-4.4849124,0,0,26526.684,1446.359,2.3999999,0.0,1.6800001,7.0,26.28,42.839996,252.64294,0.82,0.26213238
9,2020-01-10,3.0,0.963,-0.587,0.14008339,-3.200572,-5.166154,-4.058096,0,0,26667.406,0.0,0.0,0.0,0.0,0.0,17.208603,28.8,253.56622,0.92,0.21440694
10,2020-01-11,73.0,-0.387,-3.987,-1.6307501,-3.7920141,-8.122823,-5.4594626,0,0,26813.635,0.0,4.2,0.0,2.9399998,9.0,14.440443,23.759998,31.010305,0.9,0.12073507
11,2020-01-12,73.0,0.963,-3.287,-1.3557497,-4.776536,-8.527153,-7.055856,0,0,26965.145,0.0,0.70000005,0.1,0.42000002,3.0,30.827856,49.68,239.62462,0.97,0.32612473
12,2020-01-13,73.0,1.813,-1.887,0.76091677,-3.116843,-6.6132927,-4.171297,0,0,27121.719,0.0,0.7,0.3,0.28,4.0,24.014996,39.6,275.7058,1.1,0.19353928
13,2020-01-14,3.0,0.513,-1.787,-0.60575,-3.4483657,-6.827891,-4.878833,0,0,27283.469,0.0,0.0,0.0,0.0,0.0,17.873556,29.519999,254.52332,0.88,0.14779776
14,2020-01-15,71.0,2.713,-0.537,1.1338333,-3.3853192,-5.9594965,-4.9372497,0,0,27452.168,0.0,3.5,3.3,0.14,6.0,31.602175,51.48,226.67233,0.79,0.33563223
