,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
0,2020-01-01,51.0,5.8145,1.8645,3.477,3.193058,-0.96504354,0.656673,0,0,30007.504,0.0,0.7,0.7,0.0,6.0,11.681987,23.759998,141.68382,1.58,0.19657476
1,2020-01-02,51.0,9.264501,5.1644998,7.5603333,6.8504095,2.8360982,4.9790254,0,0,30069.797,10429.04,1.4000001,1.4000001,0.0,9.0,20.63023,38.16,194.96036,2.16,0.31041574
2,2020-01-03,51.0,11.4645,7.8145,9.724917,7.9619274,4.5690136,6.3423676,0,0,30137.314,11011.313,0.90000004,0.90000004,0.0,6.0,25.1614,46.8,239.0072,2.22,0.53625786
3,2020-01-04,3.0,8.6645,3.0644999,6.1394997,5.230386,-0.39119077,3.0837147,0,0,30209.916,21072.219,0.0,0.0,0.0,0.0,16.1198,32.760002,283.73117,4.28,0.53761935
4,2020-01-05,3.0,8.9145,1.9145,5.422834,7.402416,-1.0283616,3.2958019,0,0,30287.463,24806.645,0.0,0.0,0.0,0.0,7.2805495,13.32,211.37296,3.75,0.41944516
5,2020-01-06,3.0,8.7145,-0.1855,3.9124167,5.3165207,-3.3870084,0.27882403,0,0,30369.83,20333.475,0.0,0.0,0.0,0.0,18.671474,34.56,194.21912,4.86,0.54324824
6,2020-01-07,3.0,10.564501,5.2145,8.20825,8.748549,2.5191545,5.628874,0,0,30456.861,6189.43,0.0,0.0,0.0,0.0,17.208603,33.839996,214.91827,2.38,0.34703404
7,2020-01-08,51.0,12.2145,10.264501,11.333251,10.4861355,8.00288,9.237023,0,0,30548.42,0.0,0.5,0.5,0.0,5.0,18.218275,33.839996,214.62878,1.44,0.29922548
8,2020-01-09,61.0,12.7145,9.9145,11.418668,9.778074,5.5299263,8.016957,0,0,30644.361,7200.0,4.4,4.4,0.0,13.0,25.9225,47.519997,201.98248,2.12,0.60184866
9,2020-01-10,51.0,9.6145,3.0145,7.1644998,5.837927,0.52515316,3.8109272,0,0,30744.549,7930.2266,1.2,1.2,0.0,8.0,23.83896,48.6,276.19812,2.17,0.5138216
10,2020-01-11,2.0,8.1145,2.2645,4.7103333,4.297556,-0.7087016,1.2504994,0,0,30848.836,22665.037,0.0,0.0,0.0,0.0,15.596767,31.319998,200.46349,4.21,0.6548867
11,2020-01-12,3.0,9.564501,2.7645,6.5332503,5.7322083,-1.2723641,2.6961544,0,0,30957.094,21394.213,0.0,0.0,0.0,0.0,22.42427,42.839996,208.05482,3.07,0.55098855
12,2020-01-13,53.0,10.064501,7.2145,8.627001,5.4025917,4.2731495,4.8257575,0,0,31069.172,3960.8057,0.70000005,0.70000005,0.0,3.0,29.035288,54.0,194.78676,1.61,0.6019155
13,2020-01-14,53.0,11.1645,9.6645,10.235334,5.993698,3.3221068,4.388643,0,0,31185.174,0.0,1.5,1.5,0.0,5.0,35.455887,66.24,202.49089,1.39,1.8090705
