,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
0,2020-01-01,2.0,8.585,0.08500001,4.3641677,5.177602,-3.4179897,0.6710512,0,0,35238.625,27709.082,0.0,0.0,0.0,0.0,21.758419,30.599998,334.39783,8.72,1.2912815
1,2020-01-02,3.0,11.235001,-0.865,5.16,8.003385,-4.627311,1.6914216,0,0,35274.77,31257.203,0.0,0.0,0.0,0.0,16.167967,24.119999,343.62085,10.55,1.3965696
2,2020-01-03,51.0,10.135,2.385,5.497501,7.53251,-2.5476837,1.5221983,0,0,35313.984,31352.906,0.1,0.1,0.0,1.0,25.582806,36.36,350.84244,10.91,1.5742813
3,2020-01-04,73.0,10.785001,1.085,5.5329165,5.453638,-4.137927,0.97004414,0,0,35356.18,28998.617,5.7,4.2,1.05,7.0,25.96496,39.96,350.2822,9.62,1.6567339
4,2020-01-05,1.0,9.135,2.0349998,4.6662507,2.3377962,-3.5214987,-1.1556029,0,0,35401.305,31417.203,0.0,0.0,0.0,0.0,31.353085,47.519997,335.43588,10.78,2.1550553
5,2020-01-06,3.0,10.685,2.685,5.9870834,4.7864513,-1.5518334,1.4660531,0,0,35449.273,29303.852,0.0,0.0,0.0,0.0,26.749235,40.32,339.02377,11.17,1.8474549
6,2020-01-07,53.0,7.985,3.335,5.255833,5.086027,-0.983937,1.6517228,0,0,35500.008,6163.196,5.3,5.3,0.0,14.0,18.511143,28.08,351.31555,3.75,0.69542944
7,2020-01-08,63.0,8.885,3.5349998,6.045418,5.593301,-0.84690905,2.0499508,0,0,35553.445,14133.951,11.6,11.6,0.0,5.0,31.060303,78.479996,317.98975,3.78,0.95255136
8,2020-01-09,53.0,13.335,4.035,8.101667,6.2794886,-0.61428785,3.2787206,0,0,35609.504,30467.88,1.1,1.1,0.0,4.0,39.24,57.96,346.9589,11.29,2.1702654
9,2020-01-10,3.0,10.535001,3.235,6.09125,6.9797926,-0.0665102,2.4892113,0,0,35668.11,28809.168,0.0,0.0,0.0,0.0,21.603,30.960001,12.195908,10.64,1.4453609
10,2020-01-11,3.0,9.585,0.935,4.9954166,7.512558,-2.3049693,1.7934412,0,0,35729.195,24704.898,0.0,0.0,0.0,0.0,16.595179,23.4,354.95764,8.45,1.101286
11,2020-01-12,51.0,8.485001,2.485,5.52875,4.9695807,-1.0426846,2.351757,0,0,35792.676,9844.994,1.1,1.1,0.0,5.0,13.217443,21.599998,340.4657,3.57,0.6520141
12,2020-01-13,3.0,11.335,3.9850001,6.9454174,9.283165,0.045253754,3.6895611,0,0,35858.48,31834.695,0.0,0.0,0.0,0.0,20.991426,29.519999,12.356718,10.62,1.4747651
13,2020-01-14,63.0,11.735001,5.335,7.75375,9.626178,1.9398298,5.1859794,0,0,35926.688,26318.285,9.7,9.7,0.0,8.0,15.7908325,29.519999,337.08307,9.98,1.3007659
14,2020-01-15,51.0,8.585,2.5349998,5.245417,5.0656834,-3.8106346,0.4615852,0,0,35998.05,15719.65,0.4,0.4,0.0,3.0,30.566095,43.56,340.41797,4.15,1.234219
15,2020-01-16,3.0,9.235001,1.885,5.170417,6.307336,-3.0600793,1.2938527,0,0,36072.566,27439.672,0.0,0.0,0.0,0.0,18.59845,27.0,2.1072273,8.83,1.369107
16,2020-01-17,53.0,9.735001,3.0349998,6.1558337,5.774704,-3.4551048,1.5030092,0,0,36150.1,19685.348,2.4,2.4,0.0,10.0,29.195534,43.199997,15.622601,8.74,1.6076093
17,2020-01-18,73.0,3.935,0.785,2.732916,-0.6477101,-3.5361664,-2.3480475,0,0,36230.5,2611.725,8.599999,5.7999997,1.96,16.0,30.141266,44.639996,341.19208,2.53,0.57889926
18,2020-01-19,3.0,9.235001,0.285,5.3891673,6.727874,-3.5238023,1.5675106,0,0,36313.617,31585.143,0.0,0.0,0.0,0.0,25.9225,37.079998,150.19931,12.1,1.7072434
